commune_name,TERYT,commune_type,commune_population,number_of_places,number_of_places_per_1000_inh,voi_code
Abramów,0608022,2,4039,0,0,06
Adamów,0611032,2,5594,0,0,06
Adamów,0620012,2,4646,0,0,06
Adamówka,1814022,2,4057,0,0,18
Aleksandrów,0602022,2,3281,0,0,06
Aleksandrów,1010012,2,4326,0,0,10
Aleksandrów Kujawski,0401011,1,12102,0,0,04
Aleksandrów Kujawski,0401042,2,11943,0,0,04
Aleksandrów Łódzki,1020043,3,32303,0,0,10
Alwernia,1203013,3,12529,0,0,12
Andrespol,1006022,2,14205,0,0,10
Andrychów,1218013,3,43477,0,0,12
Andrzejewo,1416022,2,4063,0,0,14
Annopol,0607023,3,8596,15,1.74499767333644,06
Augustów,2001022,2,6759,0,0,20
Augustów,2001011,1,30153,0,0,20
Babiak,3009022,2,7831,0,0,30
Babice,1203022,2,9097,30,3.29779048037815,12
Babimost,0809013,3,6226,0,0,08
Baborów,1602013,3,5976,0,0,16
Baboszewo,1420032,2,7955,15,1.88560653676933,14
Baćkowice,2606012,2,4868,0,0,26
Bakałarzewo,2012012,2,3104,0,0,20
Baligród,1821012,2,3161,0,0,18
Bałtów,2607022,2,3410,0,0,26
Banie,3206012,2,6308,0,0,32
Banie Mazurskie,2818012,2,3671,10,2.72405339144647,28
Baranowo,1415012,2,6496,0,0,14
Baranów,0614022,2,3886,0,0,06
Baranów,1405032,2,5340,0,0,14
Baranów,3008012,2,7987,30,3.75610366846125,30
Baranów Sandomierski,1820013,3,11852,0,0,18
Barciany,2808022,2,6109,0,0,28
Barcin,0419013,3,14751,0,0,04
Barczewo,2814013,3,18019,0,0,28
Bardo,0224013,3,5286,0,0,02
Bargłów Kościelny,2001032,2,5496,0,0,20
Barlinek,3210013,3,19244,0,0,32
Bartniczka,0402062,2,4691,0,0,04
Bartoszyce,2801011,1,23284,0,0,28
Bartoszyce,2801032,2,10715,0,0,28
Baruchowo,0418022,2,3436,0,0,04
Barwice,3215023,3,8478,0,0,32
Batorz,0605012,2,3264,0,0,06
Bądkowo,0401052,2,4222,20,4.73709142586452,04
Bedlno,1002022,2,5349,0,0,10
Bejsce,2603012,2,3997,0,0,26
Belsk Duży,1406012,2,6475,0,0,14
Bełchatów,1001011,1,56973,0,0,10
Bełchatów,1001022,2,11572,0,0,10
Bełżec,0618022,2,3315,0,0,06
Bełżyce,0609013,3,13256,0,0,06
Besko,1817022,2,4508,0,0,18
Bestwina,2402022,2,11909,0,0,24
Będków,1016022,2,3274,0,0,10
Będzin,2401011,1,56354,0,0,24
Będzino,3209012,2,8659,20,2.30973553528121,32
Biała,1610013,3,10565,30,2.83956460009465,16
Biała,1017012,2,5440,0,0,10
Biała Piska,2816013,3,11622,0,0,28
Biała Podlaska,0601032,2,14423,0,0,06
Biała Podlaska,0661011,1,57170,0,0,06
